href,menu
/ho-chi-minh/banh-mi-pew-pew,Nước Ép Dưa Hấu
/ho-chi-minh/banh-mi-pew-pew,Nước ép thơm & cóc
/ho-chi-minh/banh-mi-pew-pew,Dâu Tằm Tươi
/ho-chi-minh/banh-mi-pew-pew,Cóc ép xí muội
/ho-chi-minh/banh-mi-pew-pew,Nước Ép Thơm
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Que Truyền Thống
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Que Pate Bơ
/ho-chi-minh/banh-mi-pew-pew,Bánh Mì Que Cá Ngừ Sốt Cay
/ho-chi-minh/banh-mi-pew-pew,Combo đặc biệt: Cari Gà + Nước ngọt
/ho-chi-minh/banh-mi-pew-pew,Bánh mì bò tiêu đen+ Xôi thập cẩm+ Café sữa đá + Coca
/ho-chi-minh/banh-mi-pew-pew,Trà đào Pew Pew 
/ho-chi-minh/banh-mi-pew-pew,Trà Olong Vải
/ho-chi-minh/banh-mi-pew-pew,Trà xanh ổi hồng
/ho-chi-minh/banh-mi-pew-pew,Trà Xoài Kem Sữa Đác Thơm
/ho-chi-minh/banh-mi-pew-pew,Trà xoài nhiệt đới
/ho-chi-minh/banh-mi-pew-pew,Cà phê phin sữa đá
/ho-chi-minh/banh-mi-pew-pew,Bạc xỉu
/ho-chi-minh/banh-mi-pew-pew,Trà đào pewpew
/ho-chi-minh/banh-mi-pew-pew,Khô Gà 50Gr
/ho-chi-minh/banh-mi-pew-pew,Xôi thập cẩm
/ho-chi-minh/banh-mi-pew-pew,Xôi gà
/ho-chi-minh/banh-mi-pew-pew,Xôi xá xíu
/ho-chi-minh/banh-mi-pew-pew,Xôi truyền thống
/ho-chi-minh/banh-mi-pew-pew,Xôi măng cá
/ho-chi-minh/banh-mi-pew-pew,Bánh Chuối Nướng
/ho-chi-minh/banh-mi-pew-pew,Khoai tây lắc
/ho-chi-minh/banh-mi-pew-pew,Sữa Bắp Tươi
/ho-chi-minh/banh-mi-pew-pew,Nước suối
/ho-chi-minh/banh-mi-pew-pew,Sprite tươi size M
/ho-chi-minh/banh-mi-pew-pew,Fanta tươi size M
/ho-chi-minh/banh-mi-pewpew-duong-d5,Khô gà bơ tỏi
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bò kho
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh mì thêm
/ho-chi-minh/banh-mi-pewpew-duong-d5,Cari gà
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Thập Cẩm
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Gà Nướng Mật Ong
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Bò Tiêu Đen
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Truyền Thống
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Heo Quay
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Trứng
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Gà Sốt Nhật
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Xá Xíu
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh Mì Chả Cá
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh mì chấm cafe sữa
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh mì cóc thập cẩm
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bánh mì cóc gà sốt nhật
/ho-chi-minh/banh-mi-pewpew-duong-d5,Sữa chua xoài đác thơm
/ho-chi-minh/banh-mi-pewpew-duong-d5,Sữa chua nhiệt đới đác thơm
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà đào đá xay đác thơm
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà đào Pew Pew 
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà Olong Vải
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà xanh ổi hồng
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà xoài chanh dây
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà xoài nhiệt đới
/ho-chi-minh/banh-mi-pewpew-duong-d5,Olong sen vàng 
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà Xoài Kem Sữa Đác Thơm
/ho-chi-minh/banh-mi-pewpew-duong-d5,Trà vải macchiato
/ho-chi-minh/banh-mi-pewpew-duong-d5,Bạc xỉu
/ho-chi-minh/banh-mi-pewpew-duong-d5,Cà phê phin sữa đá
